Src   Dst   Srvport  Utilized (ns)   Utilization
68    51    NO       905920          0.91%
45    466   YES      902944          0.90%
82    19    NO       893120          0.89%
430   41    YES      892736          0.89%
64    8     NO       884800          0.88%
89    50    NO       883808          0.88%
76    712   YES      883264          0.88%
488   48    YES      879616          0.88%
4     54    NO       878752          0.88%
6     98    NO       875456          0.88%
78    4     NO       869920          0.87%
6     16    NO       869792          0.87%
18    82    NO       869792          0.87%
24    80    NO       869792          0.87%
25    31    NO       869792          0.87%
43    71    NO       869792          0.87%
50    74    NO       869792          0.87%
51    86    NO       869792          0.87%
99    91    NO       869792          0.87%
99    38    NO       869792          0.87%
18    12    NO       865120          0.87%
61    589   YES      862784          0.86%
11    87    NO       862688          0.86%
76    71    NO       861632          0.86%
588   61    YES      857728          0.86%
20    267   YES      835616          0.84%
97    58    NO       835328          0.84%
49    57    NO       820960          0.82%
456   44    YES      818432          0.82%
34    374   YES      813760          0.81%
26    37    NO       809600          0.81%
29    77    NO       765568          0.77%
34    372   YES      753216          0.75%
52    72    NO       748704          0.75%
614   64    YES      745792          0.75%
48    484   YES      745632          0.75%
52    521   YES      742400          0.74%
9     174   YES      739552          0.74%
173   9     YES      727552          0.73%
2     9     NO       726624          0.73%
83    49    NO       725760          0.73%
22    14    NO       716320          0.72%
96    35    NO       715168          0.72%
312   26    YES      712640          0.71%
35    26    NO       705632          0.71%
67    32    NO       705632          0.71%
92    18    NO       697216          0.70%
1     97    NO       695808          0.70%
17    94    NO       695808          0.70%
25    7     NO       695808          0.70%
35    32    NO       695808          0.70%
74    59    NO       695808          0.70%
92    62    NO       695808          0.70%
85    781   YES      674048          0.67%
81    71    NO       655616          0.66%
41    88    NO       655232          0.66%
9     87    NO       647584          0.65%
9     89    NO       629856          0.63%
84    39    NO       628800          0.63%
546   55    YES      619040          0.62%
809   88    YES      601184          0.60%
58    565   YES      592572          0.59%
68    649   YES      591200          0.59%
801   87    YES      583168          0.58%
64    613   YES      566336          0.57%
88    806   YES      557632          0.56%
38    23    NO       557152          0.56%
595   61    YES      557152          0.56%
85    784   YES      548864          0.55%
545   55    YES      547968          0.55%
540   55    YES      545696          0.55%
23    285   YES      543072          0.54%
780   85    YES      531072          0.53%
543   55    YES      497888          0.50%
23    66    NO       497376          0.50%
64    7     NO       487296          0.49%
186   10    YES      481984          0.48%
715   76    YES      476320          0.48%
88    804   YES      471488          0.47%
60    90    NO       469536          0.47%
5     141   YES      468192          0.47%
77    718   YES      464608          0.46%
590   61    YES      463712          0.46%
777   84    YES      463200          0.46%
9     176   YES      461312          0.46%
96    89    NO       452192          0.45%
79    88    NO       435232          0.44%
18    247   YES      428448          0.43%
31    71    NO       426720          0.43%
87    797   YES      424416          0.42%
6     64    NO       418336          0.42%
58    567   YES      401504          0.40%
64    0     NO       397792          0.40%
22    67    NO       386208          0.39%
88    810   YES      381952          0.38%
46    21    NO       376992          0.38%
85    786   YES      364224          0.36%
24    84    NO       358624          0.36%
281   22    YES      357792          0.36%
40    20    NO       357504          0.36%
6     20    NO       351648          0.35%
2     35    NO       348000          0.35%
11    38    NO       348000          0.35%
12    78    NO       348000          0.35%
62    28    NO       348000          0.35%
95    13    NO       348000          0.35%
96    92    NO       348000          0.35%
44    453   YES      345536          0.35%
57    56    NO       335296          0.34%
468   46    YES      320704          0.32%
18    15    NO       313824          0.31%
55    65    NO       305856          0.31%
34    376   YES      302624          0.30%
800   87    YES      299552          0.30%
52    519   YES      299200          0.30%
18    24    NO       295680          0.30%
13    15    NO       295008          0.30%
77    722   YES      294688          0.29%
24    18    NO       273760          0.27%
54    24    NO       270624          0.27%
714   76    YES      260640          0.26%
77    721   YES      256640          0.26%
23    284   YES      254880          0.25%
79    68    NO       254112          0.25%
98    53    NO       249536          0.25%
71    66    NO       243872          0.24%
146   5     YES      243456          0.24%
465   45    YES      236576          0.24%
82    84    NO       214432          0.21%
492   49    YES      213280          0.21%
708   76    YES      213024          0.21%
5     33    NO       212704          0.21%
61    93    NO       212704          0.21%
474   46    YES      210720          0.21%
21    7     NO       208992          0.21%
61    594   YES      205088          0.21%
58    70    NO       203488          0.20%
66    96    NO       202496          0.20%
88    805   YES      200864          0.20%
0     46    NO       200672          0.20%
34    75    NO       196992          0.20%
84    4     NO       192512          0.19%
518   52    YES      192448          0.19%
8     41    NO       189856          0.19%
27    52    NO       189600          0.19%
77    37    NO       188928          0.19%
11    27    NO       183936          0.18%
9     175   YES      179936          0.18%
45    75    NO       176833          0.18%
75    91    NO       174976          0.17%
7     83    NO       174624          0.17%
43    24    NO       174112          0.17%
66    75    NO       174112          0.17%
73    12    NO       174112          0.17%
75    34    NO       173181          0.17%
52    27    NO       166464          0.17%
95    10    NO       163424          0.16%
49    56    NO       160704          0.16%
37    95    NO       154464          0.15%
34    373   YES      154080          0.15%
44    91    NO       152000          0.15%
18    249   YES      151904          0.15%
48    486   YES      150208          0.15%
40    57    NO       144960          0.14%
33    57    NO       142944          0.14%
93    79    NO       141504          0.14%
96    869   YES      140832          0.14%
56    24    NO       139520          0.14%
71    50    NO       139456          0.14%
27    79    NO       139296          0.14%
83    65    NO       139296          0.14%
89    40    NO       139296          0.14%
95    92    NO       139296          0.14%
16    76    NO       128128          0.13%
22    277   YES      126112          0.13%
48    14    NO       123040          0.12%
4     84    NO       122816          0.12%
54    61    NO       119104          0.12%
14    48    NO       118304          0.12%
59    72    NO       115104          0.12%
84    93    NO       113440          0.11%
805   88    YES      112576          0.11%
3     85    NO       112032          0.11%
93    85    NO       110016          0.11%
38    78    NO       109440          0.11%
15    9     NO       105888          0.11%
84    82    NO       105632          0.11%
58    564   YES      102016          0.10%
18    23    NO       101632          0.10%
22    39    NO       96064           0.10%
250   18    YES      93056           0.09%
49    93    NO       90784           0.09%
68    79    NO       90176           0.09%
65    25    NO       89376           0.09%
9     80    NO       87360           0.09%
80    24    NO       84512           0.08%
61    14    NO       80448           0.08%
4     67    NO       80384           0.08%
48    488   YES      79520           0.08%
564   58    YES      77824           0.08%
18    250   YES      76960           0.08%
59    89    NO       75424           0.08%
66    89    NO       73696           0.07%
19    70    NO       73408           0.07%
90    79    NO       73408           0.07%
0     54    NO       73344           0.07%
82    72    NO       73344           0.07%
57    40    NO       71968           0.07%
58    97    NO       71968           0.07%
79    95    NO       71904           0.07%
70    58    NO       71008           0.07%
93    82    NO       70624           0.07%
33    5     NO       70560           0.07%
74    50    NO       70560           0.07%
57    0     NO       70048           0.07%
0     97    NO       69760           0.07%
33    97    NO       69760           0.07%
35    2     NO       69760           0.07%
53    74    NO       69760           0.07%
55    63    NO       69760           0.07%
63    62    NO       69760           0.07%
71    12    NO       69760           0.07%
91    16    NO       69760           0.07%
97    1     NO       69760           0.07%
31    25    NO       69696           0.07%
37    80    NO       69696           0.07%
38    11    NO       69696           0.07%
54    4     NO       69696           0.07%
57    33    NO       69696           0.07%
58    69    NO       69696           0.07%
69    85    NO       69696           0.07%
94    56    NO       69696           0.07%
76    708   YES      60832           0.06%
87    800   YES      59360           0.06%
75    5     NO       54912           0.05%
277   22    YES      53920           0.05%
98    59    NO       51808           0.05%
24    54    NO       46592           0.05%
37    77    NO       45984           0.05%
62    88    NO       45280           0.05%
8     95    NO       43744           0.04%
54    93    NO       43744           0.04%
57    75    NO       43744           0.04%
71    31    NO       43744           0.04%
90    3     NO       43744           0.04%
93    61    NO       43744           0.04%
14    61    NO       34304           0.03%
486   48    YES      30112           0.03%
37    2     NO       29952           0.03%
5     75    NO       27168           0.03%
49    67    NO       26880           0.03%
17    74    NO       26304           0.03%
27    29    NO       26304           0.03%
29    24    NO       26304           0.03%
51    32    NO       26304           0.03%
65    28    NO       26304           0.03%
65    83    NO       26304           0.03%
72    82    NO       26304           0.03%
51    52    NO       23840           0.02%
77    29    NO       23296           0.02%
29    6     NO       18496           0.02%
42    34    NO       18432           0.02%
56    21    NO       17664           0.02%
35    77    NO       17632           0.02%
70    42    NO       16224           0.02%
0     28    NO       14016           0.01%
15    98    NO       14016           0.01%
24    43    NO       14016           0.01%
36    28    NO       14016           0.01%
45    36    NO       14016           0.01%
80    51    NO       14016           0.01%
20    80    NO       11168           0.01%
70    31    NO       9824            0.01%
6     40    NO       8960            0.01%
11    73    NO       8960            0.01%
26    35    NO       8960            0.01%
30    35    NO       8960            0.01%
54    14    NO       8960            0.01%
59    74    NO       8960            0.01%
75    66    NO       8960            0.01%
87    30    NO       8960            0.01%
48    78    NO       7872            0.01%
1     15    NO       7296            0.01%
56    57    NO       7200            0.01%
1     94    NO       5664            0.01%
8     14    NO       5664            0.01%
12    3     NO       5664            0.01%
24    56    NO       5664            0.01%
25    40    NO       5664            0.01%
32    94    NO       5664            0.01%
50    71    NO       5664            0.01%
62    31    NO       5664            0.01%
66    12    NO       5664            0.01%
79    27    NO       5664            0.01%
79    97    NO       5664            0.01%
89    66    NO       5664            0.01%
94    75    NO       5664            0.01%
97    96    NO       5664            0.01%
2     14    NO       3648            0.00%
11    18    NO       3648            0.00%
24    29    NO       3648            0.00%
32    67    NO       3648            0.00%
56    94    NO       3648            0.00%
79    90    NO       3648            0.00%
17    80    NO       3072            0.00%
18    92    NO       2208            0.00%
21    70    NO       2208            0.00%
30    87    NO       2208            0.00%
35    30    NO       2208            0.00%
89    56    NO       2208            0.00%
91    75    NO       2208            0.00%
92    77    NO       2208            0.00%
14    33    NO       1728            0.00%
77    92    NO       1536            0.00%
3     69    NO       864             0.00%
27    11    NO       864             0.00%
33    52    NO       864             0.00%
35    72    NO       864             0.00%
36    45    NO       864             0.00%
51    68    NO       864             0.00%
52    51    NO       864             0.00%
69    58    NO       864             0.00%
80    20    NO       864             0.00%
91    36    NO       864             0.00%
95    8     NO       864             0.00%
99    2     NO       864             0.00%
0     6     NO       0               0.00%
0     57    NO       0               0.00%
0     51    NO       0               0.00%
0     99    NO       0               0.00%
0     100   YES      0               0.00%
0     101   YES      0               0.00%
0     102   YES      0               0.00%
0     103   YES      0               0.00%
0     104   YES      0               0.00%
0     105   YES      0               0.00%
0     106   YES      0               0.00%
0     107   YES      0               0.00%
1     36    NO       0               0.00%
1     80    NO       0               0.00%
1     47    NO       0               0.00%
1     93    NO       0               0.00%
1     108   YES      0               0.00%
1     109   YES      0               0.00%
1     110   YES      0               0.00%
1     111   YES      0               0.00%
1     112   YES      0               0.00%
1     113   YES      0               0.00%
1     114   YES      0               0.00%
1     115   YES      0               0.00%
2     38    NO       0               0.00%
2     99    NO       0               0.00%
2     50    NO       0               0.00%
2     62    NO       0               0.00%
2     93    NO       0               0.00%
2     116   YES      0               0.00%
2     117   YES      0               0.00%
2     118   YES      0               0.00%
2     119   YES      0               0.00%
2     120   YES      0               0.00%
2     121   YES      0               0.00%
2     122   YES      0               0.00%
2     123   YES      0               0.00%
3     43    NO       0               0.00%
3     99    NO       0               0.00%
3     92    NO       0               0.00%
3     62    NO       0               0.00%
3     124   YES      0               0.00%
3     125   YES      0               0.00%
3     126   YES      0               0.00%
3     127   YES      0               0.00%
3     128   YES      0               0.00%
3     129   YES      0               0.00%
3     130   YES      0               0.00%
3     131   YES      0               0.00%
4     78    NO       0               0.00%
4     73    NO       0               0.00%
4     132   YES      0               0.00%
4     133   YES      0               0.00%
4     134   YES      0               0.00%
4     135   YES      0               0.00%
4     136   YES      0               0.00%
4     137   YES      0               0.00%
4     138   YES      0               0.00%
4     139   YES      0               0.00%
6     0     NO       0               0.00%
6     8     NO       0               0.00%
6     148   YES      0               0.00%
6     149   YES      0               0.00%
6     150   YES      0               0.00%
6     151   YES      0               0.00%
6     152   YES      0               0.00%
6     153   YES      0               0.00%
6     154   YES      0               0.00%
6     155   YES      0               0.00%
7     15    NO       0               0.00%
7     30    NO       0               0.00%
7     25    NO       0               0.00%
7     29    NO       0               0.00%
7     156   YES      0               0.00%
7     157   YES      0               0.00%
7     158   YES      0               0.00%
7     159   YES      0               0.00%
7     160   YES      0               0.00%
7     161   YES      0               0.00%
7     162   YES      0               0.00%
7     163   YES      0               0.00%
8     24    NO       0               0.00%
8     69    NO       0               0.00%
8     42    NO       0               0.00%
8     6     NO       0               0.00%
8     3     NO       0               0.00%
8     164   YES      0               0.00%
8     165   YES      0               0.00%
8     166   YES      0               0.00%
8     167   YES      0               0.00%
8     168   YES      0               0.00%
8     169   YES      0               0.00%
8     170   YES      0               0.00%
8     171   YES      0               0.00%
9     30    NO       0               0.00%
11    30    NO       0               0.00%
11    188   YES      0               0.00%
11    189   YES      0               0.00%
11    190   YES      0               0.00%
11    191   YES      0               0.00%
11    192   YES      0               0.00%
11    193   YES      0               0.00%
11    194   YES      0               0.00%
11    195   YES      0               0.00%
12    66    NO       0               0.00%
12    71    NO       0               0.00%
12    73    NO       0               0.00%
12    13    NO       0               0.00%
12    196   YES      0               0.00%
12    197   YES      0               0.00%
12    198   YES      0               0.00%
12    199   YES      0               0.00%
12    200   YES      0               0.00%
12    201   YES      0               0.00%
12    202   YES      0               0.00%
12    203   YES      0               0.00%
13    47    NO       0               0.00%
13    67    NO       0               0.00%
13    30    NO       0               0.00%
13    86    NO       0               0.00%
13    12    NO       0               0.00%
13    204   YES      0               0.00%
13    205   YES      0               0.00%
13    206   YES      0               0.00%
13    207   YES      0               0.00%
13    208   YES      0               0.00%
13    209   YES      0               0.00%
13    210   YES      0               0.00%
13    211   YES      0               0.00%
14    8     NO       0               0.00%
14    30    NO       0               0.00%
14    54    NO       0               0.00%
14    2     NO       0               0.00%
14    212   YES      0               0.00%
14    213   YES      0               0.00%
14    214   YES      0               0.00%
14    215   YES      0               0.00%
14    216   YES      0               0.00%
14    217   YES      0               0.00%
14    218   YES      0               0.00%
14    219   YES      0               0.00%
15    30    NO       0               0.00%
15    220   YES      0               0.00%
15    221   YES      0               0.00%
15    222   YES      0               0.00%
15    223   YES      0               0.00%
15    224   YES      0               0.00%
15    225   YES      0               0.00%
15    226   YES      0               0.00%
15    227   YES      0               0.00%
16    91    NO       0               0.00%
16    6     NO       0               0.00%
16    50    NO       0               0.00%
16    43    NO       0               0.00%
16    31    NO       0               0.00%
16    228   YES      0               0.00%
16    229   YES      0               0.00%
16    230   YES      0               0.00%
16    231   YES      0               0.00%
16    232   YES      0               0.00%
16    233   YES      0               0.00%
16    234   YES      0               0.00%
16    235   YES      0               0.00%
17    63    NO       0               0.00%
17    98    NO       0               0.00%
17    70    NO       0               0.00%
17    99    NO       0               0.00%
17    236   YES      0               0.00%
17    237   YES      0               0.00%
17    238   YES      0               0.00%
17    239   YES      0               0.00%
17    240   YES      0               0.00%
17    241   YES      0               0.00%
17    242   YES      0               0.00%
17    243   YES      0               0.00%
19    40    NO       0               0.00%
19    252   YES      0               0.00%
19    253   YES      0               0.00%
19    254   YES      0               0.00%
19    255   YES      0               0.00%
19    256   YES      0               0.00%
19    257   YES      0               0.00%
19    258   YES      0               0.00%
19    259   YES      0               0.00%
21    8     NO       0               0.00%
21    95    NO       0               0.00%
21    69    NO       0               0.00%
21    268   YES      0               0.00%
21    269   YES      0               0.00%
21    270   YES      0               0.00%
21    271   YES      0               0.00%
21    272   YES      0               0.00%
21    273   YES      0               0.00%
21    274   YES      0               0.00%
21    275   YES      0               0.00%
24    8     NO       0               0.00%
24    292   YES      0               0.00%
24    293   YES      0               0.00%
24    294   YES      0               0.00%
24    295   YES      0               0.00%
24    296   YES      0               0.00%
24    297   YES      0               0.00%
24    298   YES      0               0.00%
24    299   YES      0               0.00%
25    53    NO       0               0.00%
25    91    NO       0               0.00%
25    69    NO       0               0.00%
25    300   YES      0               0.00%
25    301   YES      0               0.00%
25    302   YES      0               0.00%
25    303   YES      0               0.00%
25    304   YES      0               0.00%
25    305   YES      0               0.00%
25    306   YES      0               0.00%
25    307   YES      0               0.00%
27    63    NO       0               0.00%
27    39    NO       0               0.00%
27    38    NO       0               0.00%
27    36    NO       0               0.00%
27    80    NO       0               0.00%
27    72    NO       0               0.00%
27    316   YES      0               0.00%
27    317   YES      0               0.00%
27    318   YES      0               0.00%
27    319   YES      0               0.00%
27    320   YES      0               0.00%
27    321   YES      0               0.00%
27    322   YES      0               0.00%
27    323   YES      0               0.00%
28    65    NO       0               0.00%
28    19    NO       0               0.00%
28    11    NO       0               0.00%
28    36    NO       0               0.00%
28    324   YES      0               0.00%
28    325   YES      0               0.00%
28    326   YES      0               0.00%
28    327   YES      0               0.00%
28    328   YES      0               0.00%
28    329   YES      0               0.00%
28    330   YES      0               0.00%
28    331   YES      0               0.00%
29    70    NO       0               0.00%
29    27    NO       0               0.00%
29    7     NO       0               0.00%
29    332   YES      0               0.00%
29    333   YES      0               0.00%
29    334   YES      0               0.00%
29    335   YES      0               0.00%
29    336   YES      0               0.00%
29    337   YES      0               0.00%
29    338   YES      0               0.00%
29    339   YES      0               0.00%
30    47    NO       0               0.00%
30    14    NO       0               0.00%
30    9     NO       0               0.00%
30    7     NO       0               0.00%
30    13    NO       0               0.00%
30    15    NO       0               0.00%
30    11    NO       0               0.00%
30    82    NO       0               0.00%
30    340   YES      0               0.00%
30    341   YES      0               0.00%
30    342   YES      0               0.00%
30    343   YES      0               0.00%
30    344   YES      0               0.00%
30    345   YES      0               0.00%
30    346   YES      0               0.00%
30    347   YES      0               0.00%
31    92    NO       0               0.00%
31    63    NO       0               0.00%
31    62    NO       0               0.00%
31    70    NO       0               0.00%
31    16    NO       0               0.00%
31    348   YES      0               0.00%
31    349   YES      0               0.00%
31    350   YES      0               0.00%
31    351   YES      0               0.00%
31    352   YES      0               0.00%
31    353   YES      0               0.00%
31    354   YES      0               0.00%
31    355   YES      0               0.00%
32    37    NO       0               0.00%
32    51    NO       0               0.00%
32    43    NO       0               0.00%
32    35    NO       0               0.00%
32    79    NO       0               0.00%
32    356   YES      0               0.00%
32    357   YES      0               0.00%
32    358   YES      0               0.00%
32    359   YES      0               0.00%
32    360   YES      0               0.00%
32    361   YES      0               0.00%
32    362   YES      0               0.00%
32    363   YES      0               0.00%
33    63    NO       0               0.00%
33    14    NO       0               0.00%
33    78    NO       0               0.00%
33    83    NO       0               0.00%
33    38    NO       0               0.00%
33    47    NO       0               0.00%
33    364   YES      0               0.00%
33    365   YES      0               0.00%
33    366   YES      0               0.00%
33    367   YES      0               0.00%
33    368   YES      0               0.00%
33    369   YES      0               0.00%
33    370   YES      0               0.00%
33    371   YES      0               0.00%
35    40    NO       0               0.00%
35    92    NO       0               0.00%
35    380   YES      0               0.00%
35    381   YES      0               0.00%
35    382   YES      0               0.00%
35    383   YES      0               0.00%
35    384   YES      0               0.00%
35    385   YES      0               0.00%
35    386   YES      0               0.00%
35    387   YES      0               0.00%
36    1     NO       0               0.00%
36    29    NO       0               0.00%
36    21    NO       0               0.00%
36    50    NO       0               0.00%
36    97    NO       0               0.00%
36    27    NO       0               0.00%
36    388   YES      0               0.00%
36    389   YES      0               0.00%
36    390   YES      0               0.00%
36    391   YES      0               0.00%
36    392   YES      0               0.00%
36    393   YES      0               0.00%
36    394   YES      0               0.00%
36    395   YES      0               0.00%
37    40    NO       0               0.00%
37    47    NO       0               0.00%
37    32    NO       0               0.00%
37    396   YES      0               0.00%
37    397   YES      0               0.00%
37    398   YES      0               0.00%
37    399   YES      0               0.00%
37    400   YES      0               0.00%
37    401   YES      0               0.00%
37    402   YES      0               0.00%
37    403   YES      0               0.00%
38    2     NO       0               0.00%
38    27    NO       0               0.00%
38    42    NO       0               0.00%
38    33    NO       0               0.00%
38    404   YES      0               0.00%
38    405   YES      0               0.00%
38    406   YES      0               0.00%
38    407   YES      0               0.00%
38    408   YES      0               0.00%
38    409   YES      0               0.00%
38    410   YES      0               0.00%
38    411   YES      0               0.00%
39    19    NO       0               0.00%
39    78    NO       0               0.00%
39    47    NO       0               0.00%
39    57    NO       0               0.00%
39    69    NO       0               0.00%
39    27    NO       0               0.00%
39    22    NO       0               0.00%
39    412   YES      0               0.00%
39    413   YES      0               0.00%
39    414   YES      0               0.00%
39    415   YES      0               0.00%
39    416   YES      0               0.00%
39    417   YES      0               0.00%
39    418   YES      0               0.00%
39    419   YES      0               0.00%
40    35    NO       0               0.00%
40    72    NO       0               0.00%
40    6     NO       0               0.00%
40    37    NO       0               0.00%
40    19    NO       0               0.00%
40    25    NO       0               0.00%
40    420   YES      0               0.00%
40    421   YES      0               0.00%
40    422   YES      0               0.00%
40    423   YES      0               0.00%
40    424   YES      0               0.00%
40    425   YES      0               0.00%
40    426   YES      0               0.00%
40    427   YES      0               0.00%
42    8     NO       0               0.00%
42    95    NO       0               0.00%
42    38    NO       0               0.00%
42    35    NO       0               0.00%
42    436   YES      0               0.00%
42    437   YES      0               0.00%
42    438   YES      0               0.00%
42    439   YES      0               0.00%
42    440   YES      0               0.00%
42    441   YES      0               0.00%
42    442   YES      0               0.00%
42    443   YES      0               0.00%
43    3     NO       0               0.00%
43    16    NO       0               0.00%
43    97    NO       0               0.00%
43    80    NO       0               0.00%
43    65    NO       0               0.00%
43    32    NO       0               0.00%
43    444   YES      0               0.00%
43    445   YES      0               0.00%
43    446   YES      0               0.00%
43    447   YES      0               0.00%
43    448   YES      0               0.00%
43    449   YES      0               0.00%
43    450   YES      0               0.00%
43    451   YES      0               0.00%
47    13    NO       0               0.00%
47    67    NO       0               0.00%
47    39    NO       0               0.00%
47    30    NO       0               0.00%
47    79    NO       0               0.00%
47    37    NO       0               0.00%
47    56    NO       0               0.00%
47    1     NO       0               0.00%
47    90    NO       0               0.00%
47    33    NO       0               0.00%
47    476   YES      0               0.00%
47    477   YES      0               0.00%
47    478   YES      0               0.00%
47    479   YES      0               0.00%
47    480   YES      0               0.00%
47    481   YES      0               0.00%
47    482   YES      0               0.00%
47    483   YES      0               0.00%
50    75    NO       0               0.00%
50    16    NO       0               0.00%
50    2     NO       0               0.00%
50    89    NO       0               0.00%
50    36    NO       0               0.00%
50    500   YES      0               0.00%
50    501   YES      0               0.00%
50    502   YES      0               0.00%
50    503   YES      0               0.00%
50    504   YES      0               0.00%
50    505   YES      0               0.00%
50    506   YES      0               0.00%
50    507   YES      0               0.00%
51    0     NO       0               0.00%
51    80    NO       0               0.00%
51    70    NO       0               0.00%
51    53    NO       0               0.00%
51    93    NO       0               0.00%
51    83    NO       0               0.00%
51    508   YES      0               0.00%
51    509   YES      0               0.00%
51    510   YES      0               0.00%
51    511   YES      0               0.00%
51    512   YES      0               0.00%
51    513   YES      0               0.00%
51    514   YES      0               0.00%
51    515   YES      0               0.00%
52    33    NO       0               0.00%
53    25    NO       0               0.00%
53    51    NO       0               0.00%
53    524   YES      0               0.00%
53    525   YES      0               0.00%
53    526   YES      0               0.00%
53    527   YES      0               0.00%
53    528   YES      0               0.00%
53    529   YES      0               0.00%
53    530   YES      0               0.00%
53    531   YES      0               0.00%
54    0     NO       0               0.00%
54    532   YES      0               0.00%
54    533   YES      0               0.00%
54    534   YES      0               0.00%
54    535   YES      0               0.00%
54    536   YES      0               0.00%
54    537   YES      0               0.00%
54    538   YES      0               0.00%
54    539   YES      0               0.00%
56    47    NO       0               0.00%
56    548   YES      0               0.00%
56    549   YES      0               0.00%
56    550   YES      0               0.00%
56    551   YES      0               0.00%
56    552   YES      0               0.00%
56    553   YES      0               0.00%
56    554   YES      0               0.00%
56    555   YES      0               0.00%
57    74    NO       0               0.00%
57    556   YES      0               0.00%
57    557   YES      0               0.00%
57    558   YES      0               0.00%
57    559   YES      0               0.00%
57    560   YES      0               0.00%
57    561   YES      0               0.00%
57    562   YES      0               0.00%
57    563   YES      0               0.00%
59    572   YES      0               0.00%
59    573   YES      0               0.00%
59    574   YES      0               0.00%
59    575   YES      0               0.00%
59    576   YES      0               0.00%
59    577   YES      0               0.00%
59    578   YES      0               0.00%
59    579   YES      0               0.00%
61    0     NO       0               0.00%
62    63    NO       0               0.00%
62    3     NO       0               0.00%
62    2     NO       0               0.00%
62    596   YES      0               0.00%
62    597   YES      0               0.00%
62    598   YES      0               0.00%
62    599   YES      0               0.00%
62    600   YES      0               0.00%
62    601   YES      0               0.00%
62    602   YES      0               0.00%
62    603   YES      0               0.00%
63    17    NO       0               0.00%
63    55    NO       0               0.00%
63    94    NO       0               0.00%
63    74    NO       0               0.00%
63    89    NO       0               0.00%
63    33    NO       0               0.00%
63    31    NO       0               0.00%
63    27    NO       0               0.00%
63    67    NO       0               0.00%
63    604   YES      0               0.00%
63    605   YES      0               0.00%
63    606   YES      0               0.00%
63    607   YES      0               0.00%
63    608   YES      0               0.00%
63    609   YES      0               0.00%
63    610   YES      0               0.00%
63    611   YES      0               0.00%
65    82    NO       0               0.00%
65    43    NO       0               0.00%
65    620   YES      0               0.00%
65    621   YES      0               0.00%
65    622   YES      0               0.00%
65    623   YES      0               0.00%
65    624   YES      0               0.00%
65    625   YES      0               0.00%
65    626   YES      0               0.00%
65    627   YES      0               0.00%
66    628   YES      0               0.00%
66    629   YES      0               0.00%
66    630   YES      0               0.00%
66    631   YES      0               0.00%
66    632   YES      0               0.00%
66    633   YES      0               0.00%
66    634   YES      0               0.00%
66    635   YES      0               0.00%
67    47    NO       0               0.00%
67    63    NO       0               0.00%
67    13    NO       0               0.00%
67    636   YES      0               0.00%
67    637   YES      0               0.00%
67    638   YES      0               0.00%
67    639   YES      0               0.00%
67    640   YES      0               0.00%
67    641   YES      0               0.00%
67    642   YES      0               0.00%
67    643   YES      0               0.00%
69    73    NO       0               0.00%
69    8     NO       0               0.00%
69    89    NO       0               0.00%
69    97    NO       0               0.00%
69    3     NO       0               0.00%
69    21    NO       0               0.00%
69    25    NO       0               0.00%
69    39    NO       0               0.00%
69    652   YES      0               0.00%
69    653   YES      0               0.00%
69    654   YES      0               0.00%
69    655   YES      0               0.00%
69    656   YES      0               0.00%
69    657   YES      0               0.00%
69    658   YES      0               0.00%
69    659   YES      0               0.00%
70    29    NO       0               0.00%
70    51    NO       0               0.00%
70    17    NO       0               0.00%
70    19    NO       0               0.00%
70    21    NO       0               0.00%
70    660   YES      0               0.00%
70    661   YES      0               0.00%
70    662   YES      0               0.00%
70    663   YES      0               0.00%
70    664   YES      0               0.00%
70    665   YES      0               0.00%
70    666   YES      0               0.00%
70    667   YES      0               0.00%
71    43    NO       0               0.00%
71    668   YES      0               0.00%
71    669   YES      0               0.00%
71    670   YES      0               0.00%
71    671   YES      0               0.00%
71    672   YES      0               0.00%
71    673   YES      0               0.00%
71    674   YES      0               0.00%
71    675   YES      0               0.00%
72    40    NO       0               0.00%
72    59    NO       0               0.00%
72    6     NO       0               0.00%
72    35    NO       0               0.00%
72    27    NO       0               0.00%
72    83    NO       0               0.00%
72    676   YES      0               0.00%
72    677   YES      0               0.00%
72    678   YES      0               0.00%
72    679   YES      0               0.00%
72    680   YES      0               0.00%
72    681   YES      0               0.00%
72    682   YES      0               0.00%
72    683   YES      0               0.00%
73    69    NO       0               0.00%
73    82    NO       0               0.00%
73    11    NO       0               0.00%
73    684   YES      0               0.00%
73    685   YES      0               0.00%
73    686   YES      0               0.00%
73    687   YES      0               0.00%
73    688   YES      0               0.00%
73    689   YES      0               0.00%
73    690   YES      0               0.00%
73    691   YES      0               0.00%
74    63    NO       0               0.00%
74    57    NO       0               0.00%
74    17    NO       0               0.00%
74    692   YES      0               0.00%
74    693   YES      0               0.00%
74    694   YES      0               0.00%
74    695   YES      0               0.00%
74    696   YES      0               0.00%
74    697   YES      0               0.00%
74    698   YES      0               0.00%
74    699   YES      0               0.00%
75    94    NO       0               0.00%
75    57    NO       0               0.00%
75    50    NO       0               0.00%
75    95    NO       0               0.00%
75    42    NO       0               0.00%
75    700   YES      0               0.00%
75    701   YES      0               0.00%
75    702   YES      0               0.00%
75    703   YES      0               0.00%
75    704   YES      0               0.00%
75    705   YES      0               0.00%
75    706   YES      0               0.00%
75    707   YES      0               0.00%
78    39    NO       0               0.00%
78    98    NO       0               0.00%
78    42    NO       0               0.00%
